percepcion,percepcion_final
APRUEBA ALGO,APRUEBA
APRUEBA MUCHO,APRUEBA
NI APRUEBA NI DESAPRUEBA,QUITAR
DESAPRUEBA MUCHO,DESAPRUEBA
DESAPRUEBA ALGO,DESAPRUEBA
NS/NC,QUITAR
DESAP. ALGO,DESAPRUEBA
NI AP. NI DESAP (ESP.),QUITAR
DESAP. MUCHO,DESAPRUEBA
NS/NC (ESP),QUITAR
ACUERDO EN PARTE,APRUEBA
DESACUERDO EN PARTE,DESAPRUEBA
ACUERDO,APRUEBA
DESACUERDO,DESAPRUEBA
NC,QUITAR
NS,QUITAR
IGUAL DE MAL,DESAPRUEBA
PEOR,DESAPRUEBA
MEJOR,APRUEBA
IGUAL DE BIEN,APRUEBA
 SE DEBE CAMBIAR DE RUMBO,DESAPRUEBA
"SEGUIR EL MISMO RUMBO, CAMBIANDO ALGUNAS COSAS",APRUEBA
 NS,QUITAR
 SE DEBE SEGUIR EL MISMO RUMBO SIN CAMBIOS,APRUEBA
 NC,QUITAR
 NINGUNA,QUITAR
APRUEBA,APRUEBA
DESAPRUEBA,DESAPRUEBA
REGULAR,QUITAR
DESAPRUEBA TOTALMENTE,DESAPRUEBA
APRUEBA TOTALMENTE,APRUEBA
N/C,QUITAR
N/S,QUITAR
NA,QUITAR
NEUTRO,QUITAR
"NI APRUEBA, NI DESAPRUEBA",QUITAR
APRUEBA POCO,APRUEBA
DESAPRUEBA POCO,DESAPRUEBA
BUENA,APRUEBA
MUY BUENA,APRUEBA
MALA,DESAPRUEBA
MUY MALA,DESAPRUEBA
NS / NC ESP,QUITAR
NO SABE,QUITAR
REGULAR (ESPONTANEA),QUITAR
NO SABE (NO LEER),QUITAR
NO CONTESTO (NO LEER),QUITAR
NO LO CONOCE (ESPONTANEA),QUITAR
1,DESAPRUEBA
3,DESAPRUEBA
8,APRUEBA
6,QUITAR
NS-NR,QUITAR
4,QUITAR
7,APRUEBA
5,QUITAR
2,DESAPRUEBA
10,APRUEBA
9,APRUEBA
 DESACUERDO,DESAPRUEBA
 DESACUERDO EN PARTE,DESAPRUEBA
 ACUERDO,APRUEBA
 ACUERDO EN PARTE,APRUEBA
 NS/NC,QUITAR
NI APRUEBA NI%26NBSP; %26NBSP;DESAPRUEBA ESP,QUITAR
NSNC,QUITAR
NS / NC,QUITAR
NS (ESP.),QUITAR
NI APRUEBA NI DESAPRUEBA (ESP.),QUITAR
NO LO CONOCE,QUITAR
NC (ESP.),QUITAR
 CASI NUNCA,DESAPRUEBA
 LA MAYORÍA DE LAS VECES,APRUEBA
 NUNCA,DESAPRUEBA
 SIEMPRE,APRUEBA
ALGO SATISFECHO,APRUEBA
POCO SATISFECHO,DESAPRUEBA
NADA SATISFECHO,DESAPRUEBA
MUY SATISFECHO,APRUEBA
NI APRUEBA NI DESAPRUEBA (ESP),QUITAR
NS|NC',QUITAR
"DESAPRUEBA TOTALMENTE	",DESAPRUEBA
APRUEBO ALGO,APRUEBA
4) APRUEBA ALGO,APRUEBA
2) REPRUEBA ALGO,DESAPRUEBA
5) APRUEBA MUCHO,APRUEBA
1) REPRUEBA MUCHO,DESAPRUEBA
9)  NC,QUITAR
3) NI APRUEBA NI REPRUEBA ?,QUITAR
8)  NS,QUITAR
 NO SABE,QUITAR
 NO CONTESTÓ,QUITAR
POCO,DESAPRUEBA
MUCHO,APRUEBA
NADA,QUITAR
FAVORABLE,APRUEBA
DESFAVORABLE,DESAPRUEBA
NO RESPONDE,QUITAR
SE DEBE CAMBIAR DE RUMBO,DESAPRUEBA
SE DEBE SEGUIR EL MISMO RUMBO SIN CAMBIOS,APRUEBA
NINGUNA,QUITAR
CASI NUNCA,DESAPRUEBA
LA MAYORÍA DE LAS VECES,APRUEBA
NUNCA,DESAPRUEBA
SIEMPRE,APRUEBA
NO CONTESTÓ,QUITAR
QUE SIGA GOBERNANDO MORENA,APRUEBA
QUE HAYA UN CAMBIO DE PARTIDO EN EL GOBIERNO,DESAPRUEBA
NO RESPONDIÓ,QUITAR
NO SÉ,QUITAR
"NI APRUEBA, NI DESAPRUEBA (ESPONTÁNEA)",QUITAR
INTERMEDIO,QUITAR
MAXIMO,APRUEBA
MINIMO,DESAPRUEBA
NS/NC,QUITAR
SI,APRUEBA
NO,DESAPRUEBA
NO SABE / NO RESPONDIÓ,QUITAR
NO CONTESTO,QUITAR
BUENO,APRUEBA
MUY BUENO,APRUEBA
MALO,DESAPRUEBA
MUY MALO,DESAPRUEBA
DIRECCIÓN CORRECTA,APRUEBA
DIRECCIÓN INCORRECTA,DESAPRUEBA
SIN OPINIÓN,QUITAR
